keyword,label,reliable,peak_date,spread_speed,volatility,surge_count,total_buzz,neg_ratio,shortform_era,pre_peak_avg,post_peak_avg,retention_ratio
두바이쫀득쿠키,정착,false,2025-12-24,3.47,18.05,1,4093,0.3138,1,4.799137318007664,15.733255541401276,3.2784
컵마라탕,정착,false,2025-06-14,10.56,8.55,0,7086,0.273,1,5.44430954674221,16.03019340974211,2.9444
소금빵,정착,true,2022-06-09,3.16,11.86,2,7287,0.2623,1,21.292541835616436,30.33585704109588,1.4247
앙버터호두과자,정착,true,2022-01-24,2.61,14.67,3,4321,0.2182,1,12.156972164383566,45.724616438356186,3.7612
슈니발렌,소멸,true,2017-01-29,20.31,2.9,0,2624,0.4275,0,3.5800380874316957,3.7871563835616406,1.0579
흑당밀크티,정착,true,2019-08-10,3.2,9.21,1,6402,0.2911,0,11.598209552238805,20.79859480874317,1.7933
먹태깡,소멸,true,2023-07-03,12.16,6.98,1,4921,0.2827,1,0.7623701223241572,8.229495601092893,8.2295
분모자,소멸,true,2019-01-01,33.9,2.26,0,7725,0.2231,0,2.072586615384615,1.4741332876712328,0.7113
무한리필삼겹살,정착,true,2016-06-03,7.53,4.53,0,9101,0.2351,0,8.000632532467522,11.903563972602743,1.4878
연세우유크림빵,정착,true,2022-06-27,11.62,4.96,0,3863,0.3128,1,5.740331626506022,10.515888136986296,1.8319
벌집아이스크림,소멸,true,2017-03-13,42.51,3.58,0,6468,0.5175,0,2.4026670136986303,3.502616383561644,1.4578
두바이초콜릿,소멸,true,2024-06-27,5.15,7.26,1,7735,0.3087,1,2.0876361944444497,8.949772219178087,4.287
대왕카스테라,소멸,true,2017-03-13,49.71,2.04,0,7560,0.3252,0,0.253197095890411,0.23454408219178097,0.2345
달고나커피,소멸,true,2020-03-06,9.12,7.09,1,9849,0.2998,0,2.3365488194444457,6.681047424657535,2.8594
불닭볶음면,정착,true,2021-12-08,13.46,3.39,0,8997,0.3556,1,8.016736794520549,10.51377369863013,1.3115
명랑핫도그,정착,true,2017-02-15,3.49,7.83,2,9442,0.2949,0,10.946220563380283,18.988619835616444,1.7347
로제떡볶이,소멸,true,2021-04-10,4.93,3.94,0,7602,0.2535,1,3.604363369863016,7.936723780821916,2.202
오마카세,정착,true,2022-03-12,8.96,4.11,0,8675,0.2485,1,9.463553589041092,11.051126082191772,1.1678
소떡소떡,소멸,true,2018-04-08,57.93,1.96,0,9218,0.2956,0,0.22975342465753457,3.0140800273972603,3.0141
이모카세,소멸,true,2024-09-27,28.33,5.12,0,5235,0.3558,1,1.1520439344262285,6.957654383561644,6.0394
포켓몬빵,정착,true,2022-03-09,4.68,8.95,1,8395,0.3107,1,1.6802741095890372,16.830002547945202,10.0162
버블티,정착,true,2019-04-29,9.55,3.25,0,11296,0.2919,0,5.292514301369866,10.061662158469943,1.9011
컵빙수,정착,false,2025-06-14,3.82,8.35,1,4644,0.2973,1,5.133886516853933,12.876459596541787,2.5081
크로플,정착,true,2020-07-30,5.69,7.44,1,7008,0.2405,0,4.439139196675906,21.161455479452048,4.767
컵냉면,소멸,true,2023-08-08,100.0,2.26,0,1459,0.2856,1,0.06980105263157901,0.7750055657492355,0.775
컵강정,정착,true,2016-05-10,2.65,11.81,17,1268,0.1905,0,33.0,35.638297872340424,1.0799
버터떡,정착,false,2026-03-09,22.61,15.47,1,2413,0.3377,1,0.9858957812500001,20.373223170731706,20.3732
뚱카롱,정착,true,2019-01-05,3.1,10.5,3,7789,0.2873,0,19.948660630136985,27.167956273972607,1.3619
크루키,정착,true,2024-04-14,4.2,16.12,1,8334,0.2725,1,19.86325777777779,17.772640164383557,0.8947
요아정,정착,true,2024-07-22,2.53,13.06,1,6081,0.226,1,9.865755382513665,21.35929356164384,2.165
탕후루,소멸,true,2023-08-04,5.9,4.13,0,9073,0.3016,1,4.507859835616439,8.197270000000001,1.8184
마라탕,소멸,true,2019-07-08,79.54,1.86,0,9940,0.2996,0,0.5916288219178083,1.151006830601093,1.151
말차,정착,false,2025-08-25,2.42,8.55,1,10408,0.2813,1,17.91703399999998,28.37208010791365,1.5835
쥬씨,소멸,true,2017-05-30,85.36,1.69,0,8550,0.3532,0,1.2223041917808226,1.0458970410958899,0.8557
약과,정착,true,2023-01-04,6.39,6.14,1,10905,0.3216,1,13.017055260273972,16.084593698630137,1.2357
치즈등갈비,소멸,false,2016-01-01,,3.54,0,8289,0.2798,0,0.0,7.208944480874321,7.2089
시카고피자,소멸,false,2016-01-01,,3.68,0,10523,0.2791,0,0.0,9.617789535519126,9.6178
허니버터칩,정착,false,2016-01-01,,6.22,2,8108,0.3296,0,0.0,23.43429609289617,23.4343
