date,keyword,ratio
2016-01-01,탕후루,0.06399
2016-01-02,탕후루,0.0892
2016-01-03,탕후루,0.08629
2016-01-04,탕후루,0.05041
2016-01-05,탕후루,0.06205
2016-01-06,탕후루,0.05332
2016-01-07,탕후루,0.08241
2016-01-08,탕후루,0.06981
2016-01-09,탕후루,0.08047
2016-01-10,탕후루,0.07659
2016-01-11,탕후루,0.09308
2016-01-12,탕후루,0.06205
2016-01-13,탕후루,0.0892
2016-01-14,탕후루,0.05526
2016-01-15,탕후루,0.0572
2016-01-16,탕후루,0.05041
2016-01-17,탕후루,0.08144
2016-01-18,탕후루,0.06302
2016-01-19,탕후루,0.05332
2016-01-20,탕후루,0.0669
2016-01-21,탕후루,0.07756
2016-01-22,탕후루,0.08047
2016-01-23,탕후루,0.0669
2016-01-24,탕후루,0.0795
2016-01-25,탕후루,0.05526
2016-01-26,탕후루,0.06011
2016-01-27,탕후루,0.08338
2016-01-28,탕후루,0.11344
2016-01-29,탕후루,0.09792
2016-01-30,탕후루,0.0669
2016-01-31,탕후루,0.07659
2016-02-01,탕후루,0.09695
2016-02-02,탕후루,0.05623
2016-02-03,탕후루,0.06787
2016-02-04,탕후루,0.05914
2016-02-05,탕후루,0.0669
2016-02-06,탕후루,0.06884
2016-02-07,탕후루,0.07077
2016-02-08,탕후루,0.0669
2016-02-09,탕후루,0.07077
2016-02-10,탕후루,0.07756
2016-02-11,탕후루,0.07077
2016-02-12,탕후루,0.06399
2016-02-13,탕후루,0.15513
2016-02-14,탕후루,0.1018
2016-02-15,탕후루,0.09889
2016-02-16,탕후루,0.06205
2016-02-17,탕후루,0.06108
2016-02-18,탕후루,0.10277
2016-02-19,탕후루,0.06593
2016-02-20,탕후루,0.06787
2016-02-21,탕후루,0.10568
2016-02-22,탕후루,0.06981
2016-02-23,탕후루,0.07174
2016-02-24,탕후루,0.05526
2016-02-25,탕후루,0.10471
2016-02-26,탕후루,0.15998
2016-02-27,탕후루,0.1115
2016-02-28,탕후루,0.24821
2016-02-29,탕후루,0.10277
2016-03-01,탕후루,0.11053
2016-03-02,탕후루,0.0795
2016-03-03,탕후루,0.06302
2016-03-04,탕후루,0.09501
2016-03-05,탕후루,0.08435
2016-03-06,탕후루,0.15707
2016-03-07,탕후루,0.10471
2016-03-08,탕후루,0.12701
2016-03-09,탕후루,0.09695
2016-03-10,탕후루,0.11925
2016-03-11,탕후루,0.1464
2016-03-12,탕후루,0.26178
2016-03-13,탕후루,0.30832
2016-03-14,탕후루,0.31802
2016-03-15,탕후루,0.17064
2016-03-16,탕후루,0.1018
2016-03-17,탕후루,0.07368
2016-03-18,탕후루,0.10665
2016-03-19,탕후루,0.11441
2016-03-20,탕후루,0.14737
2016-03-21,탕후루,0.59532
2016-03-22,탕후루,0.98218
2016-03-23,탕후루,0.37135
2016-03-24,탕후루,0.27051
2016-03-25,탕후루,0.11441
2016-03-26,탕후루,0.12022
2016-03-27,탕후루,0.16192
2016-03-28,탕후루,0.11828
2016-03-29,탕후루,0.10277
2016-03-30,탕후루,0.11731
2016-03-31,탕후루,0.10083
2016-04-01,탕후루,0.09501
2016-04-02,탕후루,0.08823
2016-04-03,탕후루,0.14834
2016-04-04,탕후루,0.1241
2016-04-05,탕후루,0.10859
2016-04-06,탕후루,0.10568
2016-04-07,탕후루,0.10568
2016-04-08,탕후루,0.11635
2016-04-09,탕후루,0.0795
