keyword,year,title,description,pubDate,originallink,link
탕후루,2026.0,"신혜선 VS 임지연, '보는 재미' 보장하는 '믿보배' 여왕들 [탑티어]","<b>2016</b>년 KBS 주말극 '아이가 다섯', SBS '푸른 바다의 전설'을 거쳐 2017년 tvN '비밀의 숲'의 영은수 역으로 얼굴을... 구슬 아이스크림, 과일 <b>탕후루</b>, 꽈배기와 도너츠 등을 무서운 기세로 먹어치운다. 그러면서 &quot;조선에서 함부로... ",2026-05-15 05:41:00+00:00,https://www.ize.co.kr/news/articleView.html?idxno=76971,https://m.entertain.naver.com/article/465/0000017273
탕후루,2026.0,[뉴스줌인] 알리·테무도 결국 '<b>탕후루</b>'였나...반짝 인기 이후 성장률 급...,"2013년 벌집 아이스크림은 파라핀 논란 이후 1년도 채 지나지 않아 자취를 감췄고, <b>2016</b>년 대만 카스테라는 오픈런 열풍 속에서도 식용유 논란이 터지며 약 1년여 만에 하락세로 돌아섰다. <b>탕후루</b> 역시 2023년 급속도로... ",2026-05-13 05:46:00+00:00,http://www.dailypop.kr/news/articleView.html?idxno=98790,http://www.dailypop.kr/news/articleView.html?idxno=98790
탕후루,,짧아진 디저트 유행의 냉혹한 공식,"이후 <b>2016</b>년 대왕카스테라, 2019년 흑당 버블티, 2020년 크로플, 2022년 포켓몬빵, 2023년 <b>탕후루</b>와 먹태깡, 그리고 연말·연초 전국을 강타한 두바이 쫀득 쿠키(두쫀쿠)와 최근 급부상한 상하이 버터떡까지. 디저트 유행의... ",,https://www.mk.co.kr/article/12019982,https://n.news.naver.com/mnews/article/024/0000104985?sid=102
탕후루,,[1박2일] ‘셰프계 <b>탕후루</b> VS 한정적인 요리’ 정호영 VS 샘킴...긁고 긁...,주종현 PD는 지난 <b>2016</b>년 '1박2일 시즌3' 막내 PD로 첫 등장했다가 8년 만에 메인 PD로 다시 나타났다. 이날은 전라남도 목포시에서 펼쳐지는 '봄 밥상 대결 맛 대 맛' 첫 번째 이야기가 공개됐다. 오프닝 근황 토크에서... ,,https://kstar.kbs.co.kr/list_view.html?idx=396966,https://m.entertain.naver.com/article/438/0000079028
탕후루,,“갑자기 가격이 왜 오른 거야?”…유행만 했다 하면 재료 가격 2배씩 뛴...,"2014년 허니버터칩은 17개월간 품귀를 빚었고, <b>2016</b>년 대만 카스테라도 약 15개월 만에 내리막을 걸었다. <b>탕후루</b>는 2023년 5월 정점을 찍은 뒤 불과 1년 만에 폐업이 속출하며 관광지 간식으로 쪼그라들었다. 벌집... ",,https://www.sedaily.com/article/20020667?ref=naver,https://n.news.naver.com/mnews/article/011/0004600416?sid=101
탕후루,,봄동 비빔밥 다음은 버터떡…쇼트폼이 만든 초단기 유행 [뉴스in뉴스],"2014년 품절 대란을 빚었던 허니버터칩과 <b>2016</b>년 등장한 대왕 카스텔라입니다. 모두 유행 주기는 대략 1년에서 15개월가량이었습니다. 하지만 지난해 인기였던 <b>탕후루</b>는 불과 반년 만에 열기가 꺾였고, 최근 화제였던 '두쫀쿠... ",,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8510474&ref=A,https://n.news.naver.com/mnews/article/056/0012143487?sid=102
탕후루,,“달콤함에 세금을?” 너무 쉬운 길은 아닐까,이 세금의 논의는 <b>2016</b>년 WHO 권고로 본격 시작됐다. 영국의 경우 2018년 청량음료산업부담금을 도입했다.... <b>탕후루</b>·두바이쫀득쿠키 등 국내에서도 큰 인기를 끈 디저트류에 대한 과세도 언젠가 현실화될 수 있다.... ,,https://www.sisain.co.kr/news/articleView.html?idxno=57433,https://n.news.naver.com/mnews/article/308/0000038000?sid=102
탕후루,,"MZ, 보여주는 맛에 열광…핫메뉴 등장 `오픈런→과잉생산` 악순환","실제 한때 줄 서서 사먹던 <b>탕후루</b>, 대왕카스테라 가게는 이제 찾아보기조차 힘들어졌다. 2014년 등장한... 이어 대왕 카스테라(<b>2016</b>년), 흑당 버블티(2019년)는 해외의 이색적 맛을 원형 그대로 국내에 들어와 줄 서기 문화를... ",,http://www.edaily.co.kr/news/newspath.asp?newsid=02509206645382992,https://n.news.naver.com/mnews/article/018/0006234019?sid=101
탕후루,,<b>탕후루</b> 유행 6개월·두쫀쿠 3개월…`MZ입맛` 초광속 변심,이어 △대왕카스테라(<b>2016</b>년) 10개월 △흑당 버블티(2019년) 8개월 △크로플(크루아상X와플·2020년) 1년 △포켓몬빵(2022년) 7개월 △<b>탕후루</b>(2023년) 6개월 △먹태깡(2023년) 5개월 등 대부분 1년 안팎으로 디저트 유행 지속... ,,http://www.edaily.co.kr/news/newspath.asp?newsid=02505926645382992,https://n.news.naver.com/mnews/article/018/0006234018?sid=101
탕후루,,두쫀쿠 지고 버터떡 뜬다…짧아진 디저트 유행,"2014년 허니버터칩 과자 열풍은 약 17개월간 지속됐고 <b>2016</b>년 대만카스테라 15개월, 2023년 <b>탕후루</b>는 12개월 만에 시장 열기가 빠르게 식은 바 있다. 양동민 호남대 경영학과 교수는 “간식들의 유행주기가 짧아지고 있어... ",,http://www.jndn.com/article.php?aid=1773302530428662004,http://www.jndn.com/article.php?aid=1773302530428662004
