keyword,year,title,description,bloggername,postdate,link
탕후루,2016,중국요녕대101] <b>2016</b>년~요녕대를 떠나기전까지,<b>2016</b>년 1월 1일 ~ 요녕대를 떠날 때 까지 그저께가 되서야 비로소 집에 온전히 돌아왔다 한동안 손도... 빵이랑 <b>탕후루</b>도 사옴ㅎㅎㅎ 짱맛 160104 월 아침엔 백덕물류로 짐을 한국에 보내고 위엔이 만나기로 한날!!... ,DDURRUN,2016-02-08,https://blog.naver.com/ddurrun/220621239723
탕후루,2016,<b>2016</b>_SHANGHAI,<b>2016</b>. 05. 13.-15. 갑작스런 불의 고리 연쇄 지진으로 예약했던 모든 항공과 호텔을 모두 급히 취소하고... 모르겠음 <b>탕후루</b>... 겁나 기대했었는데... 내가 잘못 샀던 것일까 무슨 임플란트 본 뜰 기세로 이빨과 잇몸에... ,AKASHIC RECORDS,2016-05-23,https://blog.naver.com/akashic_re/220717467527
탕후루,2016,책과인생 8월호 (통권 272호 <b>2016</b>),"책과인생 8월호 <b>2016</b>년 8월 1일 발행 3,000원 8월호 차례 함께 읽는 이달의 시 ∣ 〈찬송〉 ∣ 한용운... 《아버지와 <b>탕후루</b>》 ◎ 〚연재〛 마오쩌둥의 제자백가 19 ∣ 김승일 문예인들은 사마상여와 같은... ",책이 좋아 책하고 살지요,2016-07-28,https://blog.naver.com/yoonhyungdoo/220773648059
탕후루,2016,"[중드리뷰] 상은(上瘾), Addicted &amp; Heroin, <b>2016</b>","상은(上瘾), Addicted &amp; Heroin, <b>2016</b> *편수:15편 *출연: 황징위( 구하이 역) 허위주( 바이루인 역) 임풍송( 요치... 1인~^^ <b>탕후루</b>, 자전거, 빨간목도리, 추운 겨울 어느 날 중국에서 이런 풍경들과 마주하게 된다면 &lt;상은&gt;이... ",星空 ☆,2016-12-24,https://blog.naver.com/tearsjem/220893548892
탕후루,2016,"[<b>2016</b>년]  대만 여행 - 7 - 대만야시장, 비탄, 용산사",<b>탕후루</b> 라고 갖은 과일을 설탕물을 입햐 먹는건데 중국은 야생 사과를 꼽아서 만든다..맛이 엄청 시다...그런데 대만은 저걸 방울 토마토를 넣어서 만들 더라.....ㅎㅎ...지역 마다 다른듯.....중국에선 저거 맛이... ,바람의내음: 여행 기상특보 & 역사 문화 여행 리포트,2016-04-17,https://blog.naver.com/j13month/220685490530
탕후루,2016,<b>2016</b> 광저우 국제 미식제(广州国际美食节) / 광저우 미식제... ,지난 11월 25일부터 12월 4일까지 광저우 판위 일대에서는 <b>2016</b> 광저우 국제 미식제(广州国际美食节)가... Simple is best~ 젊은 층에게 인기가 많았던 와플 파르페와 과일 <b>탕후루</b>. 분회장이지만 국제 미식제인 만큼... ,광저우 Lee Shuaige의 신나는 차이나!,2016-12-19,https://blog.naver.com/leeshuaige/220889371782
탕후루,2016,<b>2016</b>년 12월 part.1,"<b>2016</b>년 마지막 달의 기록이자, 북경 여행 미리 보기가 될 포스팅. 1201 THU 다음 날부터 휴가라는 생각에... 너무 맛있었던 딸기 <b>탕후루</b>. 명동에서 파는 것만 봤었는데, 북경이 원조였다니. 오늘의 메인 목적지인... ",경이월드ʕ·ᴥ·ʔ,2016-12-29,https://blog.naver.com/yae0617/220897588425
탕후루,2016,견뎌바처럼 특이한 중국 아이스크림 모음,이 두가지 말차 맛 아이스크림에 이어 <b>2016</b>년 6월 1일에는 ‘오레오 녹차 아이스크림’이 새로 출시... 산자 열매를 꼬치에 껴서 녹인 설탕을 휘릭 발라 굳힌 후 ‘<b>탕후루</b> 糖葫芦 tánghúlu [<b>탕후루</b>]’로도... ,대교 외국어 공식 블로그(차이홍&대교 랭귀지 스퀘어,2016-06-09,https://blog.naver.com/dkcaihong/220730612391
탕후루,2016,"중국 겨울 먹거리 :: 중국의 겨울철 간식, 네 가지!",<b>탕후루</b>(糖葫芦) ⓒ 셔터스톡 '<b>탕후루</b>(糖葫芦)'는 북경의 길거리에서 가장 흔히 볼 수 있는 북경의 대표... ⓒ 셔터스톡 벌써 12월이 되어서 <b>2016</b>년도 이젠 한 달밖에 남지 않았네요ㅠㅠ 중국의 겨울철 간식거리들을... ,동양북스,2016-12-13,https://blog.naver.com/dymg98/220882034755
탕후루,2016,<b>2016</b>. 11.10. 왕푸징/ 왕푸징 맛집(绚味 _CUISINE SOUS... ,<b>2016</b>. 11. 10. 목요일 엄마랑 왕푸징가기로 하고 호텔을 나섰다. 아침은 조식신청을 안해서 호텔 앞... 중국의 유명한 간식 <b>탕후루</b> ! 난 맛있는데 엄마는 먹어보지도 않고 달다고 하신다 ㅋㅋ천안문 ! 매번... ,쩐잉 블로그,2016-11-14,https://blog.naver.com/jinyoung4567/220860847674
