keyword,video_id,video_title,video_published,view_count,comment,comment_date,comment_likes
두바이쫀득쿠키,f0cQZsBh4ds,두바이 쫀득쿠키 공개합니다!,2025-10,1663884,영상 퀄리티 무엇인가요! 👍👍두바이에 미쳐서 이것저것 다 만들어도 마시멜로우 들어간것만은 참고 있었는데….만들어야 하나봐요!😝,2025-10-12,83
두바이쫀득쿠키,f0cQZsBh4ds,두바이 쫀득쿠키 공개합니다!,2025-10,1663884,"바삭~쫀득~
단거좋아하지않는데
세상 너무 맛있어요
곰봄님 감사합니다❤❤❤",2026-01-22,9
두바이쫀득쿠키,f0cQZsBh4ds,두바이 쫀득쿠키 공개합니다!,2025-10,1663884,유튜브 보고 우울증 좋아졌어요 ㅠ. 평소에 간식에 관심이 많은데 제가 좋아하는 쿠키 만들어 주시고 ㅠ 정말 감사해요.😢,2026-01-18,11
두바이쫀득쿠키,f0cQZsBh4ds,두바이 쫀득쿠키 공개합니다!,2025-10,1663884,곰봄님 사랑해요 기다렸습니다...🤍💚,2025-10-12,14
두바이쫀득쿠키,f0cQZsBh4ds,두바이 쫀득쿠키 공개합니다!,2025-10,1663884,진짜 러블리하네용🤩,2025-10-12,1
두바이쫀득쿠키,f0cQZsBh4ds,두바이 쫀득쿠키 공개합니다!,2025-10,1663884,깍 ㅋㅋㅋㅋ 기대되요~ 믿고먹는 곰봄님❤,2025-10-13,1
두바이쫀득쿠키,f0cQZsBh4ds,두바이 쫀득쿠키 공개합니다!,2025-10,1663884,🧆두쫀쿠 넘 맛잇겟다ㅣ..🧆,2026-01-08,10
두바이쫀득쿠키,f0cQZsBh4ds,두바이 쫀득쿠키 공개합니다!,2025-10,1663884,❤,2025-12-30,1
두바이쫀득쿠키,f0cQZsBh4ds,두바이 쫀득쿠키 공개합니다!,2025-10,1663884,우와~먹어보고싶다,2026-01-27,3
두바이쫀득쿠키,f0cQZsBh4ds,두바이 쫀득쿠키 공개합니다!,2025-10,1663884,넘마시겟다😢😢,2026-01-16,3
두바이쫀득쿠키,f0cQZsBh4ds,두바이 쫀득쿠키 공개합니다!,2025-10,1663884,맛나보여요❤,2026-01-23,1
두바이쫀득쿠키,f0cQZsBh4ds,두바이 쫀득쿠키 공개합니다!,2025-10,1663884,맜있음❤,2026-01-18,2
두바이쫀득쿠키,f0cQZsBh4ds,두바이 쫀득쿠키 공개합니다!,2025-10,1663884,비주얼 최고에요^^,2026-01-22,1
두바이쫀득쿠키,f0cQZsBh4ds,두바이 쫀득쿠키 공개합니다!,2025-10,1663884,와 카다이프 진짜 가득차있어서 맛있어보여요...,2026-01-02,3
두바이쫀득쿠키,f0cQZsBh4ds,두바이 쫀득쿠키 공개합니다!,2025-10,1663884,맛있겠다😮,2026-02-02,1
두바이쫀득쿠키,f0cQZsBh4ds,두바이 쫀득쿠키 공개합니다!,2025-10,1663884,오 와 멋져 요^^.♡,2026-01-21,1
두바이쫀득쿠키,f0cQZsBh4ds,두바이 쫀득쿠키 공개합니다!,2025-10,1663884,❤츄릅,2026-05-03,1
